Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
PCNP,,,,
PEX5L,6/20/16,,PEX5R|PXR2|TRIP8b,PEX5R|PXR2|TRIP8b
PEX5R,6/20/16,,PEX5L|PXR2|TRIP8b,PEX5L|PXR2|TRIP8b
PXR2,6/20/16,,PEX5L|PEX5R|TRIP8b,PEX5L|PEX5R|TRIP8b
TRIP8b,6/20/16,,PEX5L|PEX5R|PXR2,PEX5L|PEX5R|PXR2
PPRC1,10/20/06,,PRC|KIAA0595|MGC74642,PRC|KIAA0595|MGC74642
PRC,10/20/06,,PPRC1|KIAA0595|MGC74642,PPRC1|KIAA0595|MGC74642
KIAA0595,10/20/06,,PPRC1|PRC|MGC74642,PPRC1|PRC|MGC74642
MGC74642,10/20/06,,PPRC1|PRC|KIAA0595,PPRC1|PRC|KIAA0595
PLEKHO2,11/20/15,PLEKHQ1,DKFZp761K2312|PP1628|pp9099,PLEKHQ1|DKFZp761K2312|PP1628|pp9099
DKFZp761K2312,11/20/15,PLEKHQ1,PLEKHO2|PP1628|pp9099,PLEKHQ1|PLEKHO2|PP1628|pp9099
PP1628,11/20/15,PLEKHQ1,PLEKHO2|DKFZp761K2312|pp9099,PLEKHQ1|PLEKHO2|DKFZp761K2312|pp9099
pp9099,11/20/15,PLEKHQ1,PLEKHO2|DKFZp761K2312|PP1628,PLEKHQ1|PLEKHO2|DKFZp761K2312|PP1628
JADE1,10/20/13,PHF17,JADE-1,PHF17|JADE-1
JADE-1,10/20/13,PHF17,JADE1,PHF17|JADE1
GLC3C,,,,
PGS1,,,DKFZP762M186,DKFZP762M186
DKFZP762M186,,,PGS1,PGS1
DPH1,5/20/13,DPH2L|DPH2L1,OVCA1,DPH2L|DPH2L1|OVCA1
OVCA1,5/20/13,DPH2L|DPH2L1,DPH1,DPH2L|DPH2L1|DPH1
PI4K2A,,,PI4KII|DKFZP761G1923|PIK42A,PI4KII|DKFZP761G1923|PIK42A
PI4KII,,,PI4K2A|DKFZP761G1923|PIK42A,PI4K2A|DKFZP761G1923|PIK42A
DKFZP761G1923,,,PI4K2A|PI4KII|PIK42A,PI4K2A|PI4KII|PIK42A
PIK42A,,,PI4K2A|PI4KII|DKFZP761G1923,PI4K2A|PI4KII|DKFZP761G1923
PACS1,,,FLJ10209|KIAA1175,FLJ10209|KIAA1175
FLJ10209,,,PACS1|KIAA1175,PACS1|KIAA1175
KIAA1175,,,PACS1|FLJ10209,PACS1|FLJ10209
PHPT1,,,PHP14|HSPC141|CGI-202|DKFZp564M173|bA216L13.10,PHP14|HSPC141|CGI-202|DKFZp564M173|bA216L13.10
PHP14,,,PHPT1|HSPC141|CGI-202|DKFZp564M173|bA216L13.10,PHPT1|HSPC141|CGI-202|DKFZp564M173|bA216L13.10
HSPC141,,,PHPT1|PHP14|CGI-202|DKFZp564M173|bA216L13.10,PHPT1|PHP14|CGI-202|DKFZp564M173|bA216L13.10
CGI-202,,,PHPT1|PHP14|HSPC141|DKFZp564M173|bA216L13.10,PHPT1|PHP14|HSPC141|DKFZp564M173|bA216L13.10
DKFZp564M173,,,PHPT1|PHP14|HSPC141|CGI-202|bA216L13.10,PHPT1|PHP14|HSPC141|CGI-202|bA216L13.10
bA216L13.10,,,PHPT1|PHP14|HSPC141|CGI-202|DKFZp564M173,PHPT1|PHP14|HSPC141|CGI-202|DKFZp564M173
PIK3AP1,,,BCAP|FLJ35564,BCAP|FLJ35564
BCAP,,,PIK3AP1|FLJ35564,PIK3AP1|FLJ35564
FLJ35564,,,PIK3AP1|BCAP,PIK3AP1|BCAP
PIK3R5,11/20/15,,P101-PI3K|p101,P101-PI3K|p101
P101-PI3K,11/20/15,,PIK3R5|p101,PIK3R5|p101
p101,11/20/15,,PIK3R5|P101-PI3K,PIK3R5|P101-PI3K
PLEKHA5,11/20/15,,PEPP2|KIAA1686|FLJ10667,PEPP2|KIAA1686|FLJ10667
PEPP2,11/20/15,,PLEKHA5|KIAA1686|FLJ10667,PLEKHA5|KIAA1686|FLJ10667
KIAA1686,11/20/15,,PLEKHA5|PEPP2|FLJ10667,PLEKHA5|PEPP2|FLJ10667
FLJ10667,11/20/15,,PLEKHA5|PEPP2|KIAA1686,PLEKHA5|PEPP2|KIAA1686
PLEKHA8,11/20/15,,FAPP2|MGC3358,FAPP2|MGC3358
FAPP2,11/20/15,,PLEKHA8|MGC3358,PLEKHA8|MGC3358
MGC3358,11/20/15,,PLEKHA8|FAPP2,PLEKHA8|FAPP2
PLA2G4D,11/20/15,,cPLA2delta,cPLA2delta
cPLA2delta,11/20/15,,PLA2G4D,PLA2G4D
DPH2,7/20/15,DPH2L2,,DPH2L2
PLA2G2F,11/20/15,,,
PLB1,,,PLB|FLJ30866,PLB|FLJ30866
PLB,,,PLB1|FLJ30866,PLB1|FLJ30866
FLJ30866,,,PLB1|PLB,PLB1|PLB
LHPP,,,HDHD2B,HDHD2B
HDHD2B,,,LHPP,LHPP
PAG1,4/20/14,,PAG|CBP,PAG|CBP
PAG,4/20/14,,PAG1|CBP,PAG1|CBP
CBP,4/20/14,,PAG1|PAG,PAG1|PAG
SMG1,5/20/16,,LIP|KIAA0421|ATX,LIP|KIAA0421|ATX
LIP,5/20/16,,SMG1|KIAA0421|ATX,SMG1|KIAA0421|ATX
KIAA0421,5/20/16,,SMG1|LIP|ATX,SMG1|LIP|ATX
ATX,5/20/16,,SMG1|LIP|KIAA0421,SMG1|LIP|KIAA0421
PINX1,5/20/17,,PinX1|LPTL|LPTS|FLJ20565|MGC8850|Gno1|Pxr1,PinX1|LPTL|LPTS|FLJ20565|MGC8850|Gno1|Pxr1
PinX1,5/20/17,,PINX1|LPTL|LPTS|FLJ20565|MGC8850|Gno1|Pxr1,PINX1|LPTL|LPTS|FLJ20565|MGC8850|Gno1|Pxr1
LPTL,5/20/17,,PINX1|PinX1|LPTS|FLJ20565|MGC8850|Gno1|Pxr1,PINX1|PinX1|LPTS|FLJ20565|MGC8850|Gno1|Pxr1
LPTS,5/20/17,,PINX1|PinX1|LPTL|FLJ20565|MGC8850|Gno1|Pxr1,PINX1|PinX1|LPTL|FLJ20565|MGC8850|Gno1|Pxr1
FLJ20565,5/20/17,,PINX1|PinX1|LPTL|LPTS|MGC8850|Gno1|Pxr1,PINX1|PinX1|LPTL|LPTS|MGC8850|Gno1|Pxr1
MGC8850,5/20/17,,PINX1|PinX1|LPTL|LPTS|FLJ20565|Gno1|Pxr1,PINX1|PinX1|LPTL|LPTS|FLJ20565|Gno1|Pxr1
Gno1,5/20/17,,PINX1|PinX1|LPTL|LPTS|FLJ20565|MGC8850|Pxr1,PINX1|PinX1|LPTL|LPTS|FLJ20565|MGC8850|Pxr1
Pxr1,5/20/17,,PINX1|PinX1|LPTL|LPTS|FLJ20565|MGC8850|Gno1,PINX1|PinX1|LPTL|LPTS|FLJ20565|MGC8850|Gno1
LIMS3,2/20/16,,,
PIR,11/20/15,,,
MIR7-3HG,2/20/15,C19orf30|NCRNA00306|LINC00306,PGSF1|PGSF1a|PGSF1b|Huh7|uc002mbe.2,C19orf30|NCRNA00306|LINC00306|PGSF1|PGSF1a|PGSF1b|Huh7|uc002mbe.2
PGSF1,2/20/15,C19orf30|NCRNA00306|LINC00306,MIR7-3HG|PGSF1a|PGSF1b|Huh7|uc002mbe.2,C19orf30|NCRNA00306|LINC00306|MIR7-3HG|PGSF1a|PGSF1b|Huh7|uc002mbe.2
PGSF1a,2/20/15,C19orf30|NCRNA00306|LINC00306,MIR7-3HG|PGSF1|PGSF1b|Huh7|uc002mbe.2,C19orf30|NCRNA00306|LINC00306|MIR7-3HG|PGSF1|PGSF1b|Huh7|uc002mbe.2
PGSF1b,2/20/15,C19orf30|NCRNA00306|LINC00306,MIR7-3HG|PGSF1|PGSF1a|Huh7|uc002mbe.2,C19orf30|NCRNA00306|LINC00306|MIR7-3HG|PGSF1|PGSF1a|Huh7|uc002mbe.2
Huh7,2/20/15,C19orf30|NCRNA00306|LINC00306,MIR7-3HG|PGSF1|PGSF1a|PGSF1b|uc002mbe.2,C19orf30|NCRNA00306|LINC00306|MIR7-3HG|PGSF1|PGSF1a|PGSF1b|uc002mbe.2
uc002mbe.2,2/20/15,C19orf30|NCRNA00306|LINC00306,MIR7-3HG|PGSF1|PGSF1a|PGSF1b|Huh7,C19orf30|NCRNA00306|LINC00306|MIR7-3HG|PGSF1|PGSF1a|PGSF1b|Huh7
DPM1,7/20/16,,MPDS|CDGIE,MPDS|CDGIE
MPDS,7/20/16,,DPM1|CDGIE,DPM1|CDGIE
CDGIE,7/20/16,,DPM1|MPDS,DPM1|MPDS
NUP210,6/20/16,,GP210|POM210|FLJ22389|KIAA0906,GP210|POM210|FLJ22389|KIAA0906
GP210,6/20/16,,NUP210|POM210|FLJ22389|KIAA0906,NUP210|POM210|FLJ22389|KIAA0906
POM210,6/20/16,,NUP210|GP210|FLJ22389|KIAA0906,NUP210|GP210|FLJ22389|KIAA0906
FLJ22389,6/20/16,,NUP210|GP210|POM210|KIAA0906,NUP210|GP210|POM210|KIAA0906
KIAA0906,6/20/16,,NUP210|GP210|POM210|FLJ22389,NUP210|GP210|POM210|FLJ22389
PLET1,10/20/13,C11orf34,,C11orf34
LGALS14,5/20/16,,PPL13|CLC2,PPL13|CLC2
PPL13,5/20/16,,LGALS14|CLC2,LGALS14|CLC2
CLC2,5/20/16,,LGALS14|PPL13,LGALS14|PPL13
TMEM115,,,PL6,PL6
PL6,,,TMEM115,TMEM115
GPR171,,,H963,H963
H963,,,GPR171,GPR171
MAGI2-IT1~,,,,
LPCAT4,6/20/08,AYTL3|AGPAT7,FLJ10257|LPAAT-eta|LPEAT2,AYTL3|AGPAT7|FLJ10257|LPAAT-eta|LPEAT2
FLJ10257,6/20/08,AYTL3|AGPAT7,LPCAT4|LPAAT-eta|LPEAT2,AYTL3|AGPAT7|LPCAT4|LPAAT-eta|LPEAT2
LPAAT-eta,6/20/08,AYTL3|AGPAT7,LPCAT4|FLJ10257|LPEAT2,AYTL3|AGPAT7|LPCAT4|FLJ10257|LPEAT2
LPEAT2,6/20/08,AYTL3|AGPAT7,LPCAT4|FLJ10257|LPAAT-eta,AYTL3|AGPAT7|LPCAT4|FLJ10257|LPAAT-eta
DPM2,7/20/16,,MGC21559|MGC111193,MGC21559|MGC111193
MGC21559,7/20/16,,DPM2|MGC111193,DPM2|MGC111193
MGC111193,7/20/16,,DPM2|MGC21559,DPM2|MGC21559
NOMO1,,,PM5,PM5
PM5,,,NOMO1,NOMO1
PMS2CL,,,PMS2P13,PMS2P13
PMS2P13,,,PMS2CL,PMS2CL
SNHG12,2/20/15,C1orf79,PNAS-123|LINC00100|ASLNC04080,C1orf79|PNAS-123|LINC00100|ASLNC04080
PNAS-123,2/20/15,C1orf79,SNHG12|LINC00100|ASLNC04080,C1orf79|SNHG12|LINC00100|ASLNC04080
LINC00100,2/20/15,C1orf79,SNHG12|PNAS-123|ASLNC04080,C1orf79|SNHG12|PNAS-123|ASLNC04080
ASLNC04080,2/20/15,C1orf79,SNHG12|PNAS-123|LINC00100,C1orf79|SNHG12|PNAS-123|LINC00100
PBRM1,,,BAF180|PB1,BAF180|PB1
BAF180,,,PBRM1|PB1,PBRM1|PB1
PB1,,,PBRM1|BAF180,PBRM1|BAF180
PKD1P1,1/20/16,,,
PKD1P2,1/20/16,,,
PKD1P3,1/20/16,,,
PKD1P4,1/20/16,,,
PKD1P5,1/20/16,,,
DPM3,2/20/16,,MGC34275|MGC125904|MGC125905,MGC34275|MGC125904|MGC125905
MGC34275,2/20/16,,DPM3|MGC125904|MGC125905,DPM3|MGC125904|MGC125905
MGC125904,2/20/16,,DPM3|MGC34275|MGC125905,DPM3|MGC34275|MGC125905
MGC125905,2/20/16,,DPM3|MGC34275|MGC125904,DPM3|MGC34275|MGC125904
PKD1P6,1/20/16,,,
KIAA0319L,1/20/16,,KIAA1837,KIAA1837
KIAA1837,1/20/16,,KIAA0319L,KIAA0319L
CD177,3/20/06,,PRV1|HNA2A|NB1,PRV1|HNA2A|NB1
PRV1,3/20/06,,CD177|HNA2A|NB1,CD177|HNA2A|NB1
HNA2A,3/20/06,,CD177|PRV1|NB1,CD177|PRV1|NB1
NB1,3/20/06,,CD177|PRV1|HNA2A,CD177|PRV1|HNA2A
POLA2,7/20/16,,FLJ21662,FLJ21662
FLJ21662,7/20/16,,POLA2,POLA2
POLR3A,7/20/16,,RPC1|RPC155|hRPC155,RPC1|RPC155|hRPC155
RPC1,7/20/16,,POLR3A|RPC155|hRPC155,POLR3A|RPC155|hRPC155
RPC155,7/20/16,,POLR3A|RPC1|hRPC155,POLR3A|RPC1|hRPC155
hRPC155,7/20/16,,POLR3A|RPC1|RPC155,POLR3A|RPC1|RPC155
POLR3G,7/20/16,,RPC32|RPC7,RPC32|RPC7
RPC32,7/20/16,,POLR3G|RPC7,POLR3G|RPC7
RPC7,7/20/16,,POLR3G|RPC32,POLR3G|RPC32
POLR3C,7/20/16,,RPC62|RPC3,RPC62|RPC3
RPC62,7/20/16,,POLR3C|RPC3,POLR3C|RPC3
RPC3,7/20/16,,POLR3C|RPC62,POLR3C|RPC62
REEP5,2/20/06,C5orf18,DP1|TB2|D5S346|Yip2e,C5orf18|DP1|TB2|D5S346|Yip2e
DP1,2/20/06,C5orf18,REEP5|TB2|D5S346|Yip2e,C5orf18|REEP5|TB2|D5S346|Yip2e
TB2,2/20/06,C5orf18,REEP5|DP1|D5S346|Yip2e,C5orf18|REEP5|DP1|D5S346|Yip2e
D5S346,2/20/06,C5orf18,REEP5|DP1|TB2|Yip2e,C5orf18|REEP5|DP1|TB2|Yip2e
Yip2e,2/20/06,C5orf18,REEP5|DP1|TB2|D5S346,C5orf18|REEP5|DP1|TB2|D5S346
REEP6,2/20/06,C19orf32,DP1L1|FLJ25383|Yip2f,C19orf32|DP1L1|FLJ25383|Yip2f
DP1L1,2/20/06,C19orf32,REEP6|FLJ25383|Yip2f,C19orf32|REEP6|FLJ25383|Yip2f
FLJ25383,2/20/06,C19orf32,REEP6|DP1L1|Yip2f,C19orf32|REEP6|DP1L1|Yip2f
Yip2f,2/20/06,C19orf32,REEP6|DP1L1|FLJ25383,C19orf32|REEP6|DP1L1|FLJ25383
TMPRSS9,,,,
DPP3,2/20/16,,,
POM121L9P,11/20/15,,,
POP4,7/20/15,,RPP29,RPP29
RPP29,7/20/15,,POP4,POP4
KCNIP4,2/20/16,,CALP|KCHIP4|MGC44947,CALP|KCHIP4|MGC44947
CALP,2/20/16,,KCNIP4|KCHIP4|MGC44947,KCNIP4|KCHIP4|MGC44947
KCHIP4,2/20/16,,KCNIP4|CALP|MGC44947,KCNIP4|CALP|MGC44947
MGC44947,2/20/16,,KCNIP4|CALP|KCHIP4,KCNIP4|CALP|KCHIP4
TCEAL9,2/20/16,WBP5,DKFZp313K1940|WEX6,WBP5|DKFZp313K1940|WEX6
DKFZp313K1940,2/20/16,WBP5,TCEAL9|WEX6,WBP5|TCEAL9|WEX6
WEX6,2/20/16,WBP5,TCEAL9|DKFZp313K1940,WBP5|TCEAL9|DKFZp313K1940
VSIR,11/20/16,C10orf54,SISP1|GI24|B7-H5|B7H5|VISTA|PD-1H,C10orf54|SISP1|GI24|B7-H5|B7H5|VISTA|PD-1H
SISP1,11/20/16,C10orf54,VSIR|GI24|B7-H5|B7H5|VISTA|PD-1H,C10orf54|VSIR|GI24|B7-H5|B7H5|VISTA|PD-1H
GI24,11/20/16,C10orf54,VSIR|SISP1|B7-H5|B7H5|VISTA|PD-1H,C10orf54|VSIR|SISP1|B7-H5|B7H5|VISTA|PD-1H
B7-H5,11/20/16,C10orf54,VSIR|SISP1|GI24|B7H5|VISTA|PD-1H,C10orf54|VSIR|SISP1|GI24|B7H5|VISTA|PD-1H
B7H5,11/20/16,C10orf54,VSIR|SISP1|GI24|B7-H5|VISTA|PD-1H,C10orf54|VSIR|SISP1|GI24|B7-H5|VISTA|PD-1H
VISTA,11/20/16,C10orf54,VSIR|SISP1|GI24|B7-H5|B7H5|PD-1H,C10orf54|VSIR|SISP1|GI24|B7-H5|B7H5|PD-1H
PD-1H,11/20/16,C10orf54,VSIR|SISP1|GI24|B7-H5|B7H5|VISTA,C10orf54|VSIR|SISP1|GI24|B7-H5|B7H5|VISTA
DUS1L,2/20/16,,PP3111|DUS1,PP3111|DUS1
PP3111,2/20/16,,DUS1L|DUS1,DUS1L|DUS1
DUS1,2/20/16,,DUS1L|PP3111,DUS1L|PP3111
TSTD2,4/20/16,C9orf97,PP4189,C9orf97|PP4189
PP4189,4/20/16,C9orf97,TSTD2,C9orf97|TSTD2
SETD8P1,,,SET07p,SET07p
SET07p,,,SETD8P1,SETD8P1
PWAR1,,,PAR1|PAR-1,PAR1|PAR-1
PAR1,,,PWAR1|PAR-1,PWAR1|PAR-1
PAR-1,,,PWAR1|PAR1,PWAR1|PAR1
DPP4,2/20/16,CD26|ADCP2,DPPIV,CD26|ADCP2|DPPIV
DPPIV,2/20/16,CD26|ADCP2,DPP4,CD26|ADCP2|DPP4
PWAR5,,,PAR5|PAR-5,PAR5|PAR-5
PAR5,,,PWAR5|PAR-5,PWAR5|PAR-5
PAR-5,,,PWAR5|PAR5,PWAR5|PAR5
PRAM1,,,PML-RAR,PML-RAR
PML-RAR,,,PRAM1,PRAM1
NAMPT,3/20/08,PBEF1,PBEF,PBEF1|PBEF
PBEF,3/20/08,PBEF1,NAMPT,PBEF1|NAMPT
OSGIN1,,,BDGI|OKL38,BDGI|OKL38
BDGI,,,OSGIN1|OKL38,OSGIN1|OKL38
OKL38,,,OSGIN1|BDGI,OSGIN1|BDGI
SF3B6,11/20/15,,P14|SF3B14a|Ht006|CGI-110|SAP14a,P14|SF3B14a|Ht006|CGI-110|SAP14a
P14,11/20/15,,SF3B6|SF3B14a|Ht006|CGI-110|SAP14a,SF3B6|SF3B14a|Ht006|CGI-110|SAP14a
SF3B14a,11/20/15,,SF3B6|P14|Ht006|CGI-110|SAP14a,SF3B6|P14|Ht006|CGI-110|SAP14a
Ht006,11/20/15,,SF3B6|P14|SF3B14a|CGI-110|SAP14a,SF3B6|P14|SF3B14a|CGI-110|SAP14a
CGI-110,11/20/15,,SF3B6|P14|SF3B14a|Ht006|SAP14a,SF3B6|P14|SF3B14a|Ht006|SAP14a
SAP14a,11/20/15,,SF3B6|P14|SF3B14a|Ht006|CGI-110,SF3B6|P14|SF3B14a|Ht006|CGI-110
PCF11,7/20/13,,KIAA0824,KIAA0824
KIAA0824,7/20/13,,PCF11,PCF11
CPSF7,11/20/15,,FLJ12529|CFIM59,FLJ12529|CFIM59
FLJ12529,11/20/15,,CPSF7|CFIM59,CPSF7|CFIM59
CFIM59,11/20/15,,CPSF7|FLJ12529,CPSF7|FLJ12529
NPB,,,PPL7|PPNPB,PPL7|PPNPB
PPL7,,,NPB|PPNPB,NPB|PPNPB
PPNPB,,,NPB|PPL7,NPB|PPL7
AE1~,,,,
DPP6,2/20/16,,DPPX|DPL1,DPPX|DPL1
DPPX,2/20/16,,DPP6|DPL1,DPP6|DPL1
DPL1,2/20/16,,DPP6|DPPX,DPP6|DPPX
PSENEN,5/20/16,,PEN2,PEN2
PEN2,5/20/16,,PSENEN,PSENEN
CPS1-IT1,2/20/15,CPS1IT,PRO0132|CPS1-IT,CPS1IT|PRO0132|CPS1-IT
PRO0132,2/20/15,CPS1IT,CPS1-IT1|CPS1-IT,CPS1IT|CPS1-IT1|CPS1-IT
CPS1-IT,2/20/15,CPS1IT,CPS1-IT1|PRO0132,CPS1IT|CPS1-IT1|PRO0132
C16orf72,,,FLJ41272|PRO0149,FLJ41272|PRO0149
FLJ41272,,,C16orf72|PRO0149,C16orf72|PRO0149
PRO0149,,,C16orf72|FLJ41272,C16orf72|FLJ41272
DPT,,,,
FAM156A,11/20/15,TMEM29,PRO0659,TMEM29|PRO0659
PRO0659,11/20/15,TMEM29,FAM156A,TMEM29|FAM156A
FOXN3-AS2,8/20/12,,PRO1768,PRO1768
PRO1768,8/20/12,,FOXN3-AS2,FOXN3-AS2
DPYD,,,DPD,DPD
DPD,,,DPYD,DPYD
ATAD2,,,PRO2000|DKFZp667N1320|MGC5254|MGC29843|CT137,PRO2000|DKFZp667N1320|MGC5254|MGC29843|CT137
PRO2000,,,ATAD2|DKFZp667N1320|MGC5254|MGC29843|CT137,ATAD2|DKFZp667N1320|MGC5254|MGC29843|CT137
DKFZp667N1320,,,ATAD2|PRO2000|MGC5254|MGC29843|CT137,ATAD2|PRO2000|MGC5254|MGC29843|CT137
MGC5254,,,ATAD2|PRO2000|DKFZp667N1320|MGC29843|CT137,ATAD2|PRO2000|DKFZp667N1320|MGC29843|CT137
MGC29843,,,ATAD2|PRO2000|DKFZp667N1320|MGC5254|CT137,ATAD2|PRO2000|DKFZp667N1320|MGC5254|CT137
CT137,,,ATAD2|PRO2000|DKFZp667N1320|MGC5254|MGC29843,ATAD2|PRO2000|DKFZp667N1320|MGC5254|MGC29843
MZB1,1/20/16,,PACAP|MGC29506|HSPC190|pERp1|MEDA-7,PACAP|MGC29506|HSPC190|pERp1|MEDA-7
PACAP,1/20/16,,MZB1|MGC29506|HSPC190|pERp1|MEDA-7,MZB1|MGC29506|HSPC190|pERp1|MEDA-7
MGC29506,1/20/16,,MZB1|PACAP|HSPC190|pERp1|MEDA-7,MZB1|PACAP|HSPC190|pERp1|MEDA-7
HSPC190,1/20/16,,MZB1|PACAP|MGC29506|pERp1|MEDA-7,MZB1|PACAP|MGC29506|pERp1|MEDA-7
pERp1,1/20/16,,MZB1|PACAP|MGC29506|HSPC190|MEDA-7,MZB1|PACAP|MGC29506|HSPC190|MEDA-7
MEDA-7,1/20/16,,MZB1|PACAP|MGC29506|HSPC190|pERp1,MZB1|PACAP|MGC29506|HSPC190|pERp1
POP1,7/20/15,,,
DPYS,,,DHPase,DHPase
DHPase,,,DPYS,DPYS
PAQR3,3/20/16,,,
PAQR9,3/20/16,,FLJ41938,FLJ41938
FLJ41938,3/20/16,,PAQR9,PAQR9
PAQR6,3/20/16,,FLJ22672|PRdelta,FLJ22672|PRdelta
FLJ22672,3/20/16,,PAQR6|PRdelta,PAQR6|PRdelta
PRdelta,3/20/16,,PAQR6|FLJ22672,PAQR6|FLJ22672
MMD2,3/20/16,,PAQR10,PAQR10
PAQR10,3/20/16,,MMD2,MMD2
PELP1,2/20/08,,MNAR,MNAR
MNAR,2/20/08,,PELP1,PELP1
P4HA3,1/20/16,,C-P4Halpha(III),C-P4Halpha(III)
C-P4Halpha(III),1/20/16,,P4HA3,P4HA3
TMEM159,,,promethin,promethin
promethin,,,TMEM159,TMEM159
TMEM123,,,PORIMIN|KCT3,PORIMIN|KCT3
PORIMIN,,,TMEM123|KCT3,TMEM123|KCT3
KCT3,,,TMEM123|PORIMIN,TMEM123|PORIMIN
LZTS3,7/20/16,,ProSAPiP1|KIAA0552,ProSAPiP1|KIAA0552
ProSAPiP1,7/20/16,,LZTS3|KIAA0552,LZTS3|KIAA0552
KIAA0552,7/20/16,,LZTS3|ProSAPiP1,LZTS3|ProSAPiP1
DPYSL2,11/20/15,,DRP-2|DHPRP2|CRMP2|DRP2,DRP-2|DHPRP2|CRMP2|DRP2
DRP-2,11/20/15,,DPYSL2|DHPRP2|CRMP2|DRP2,DPYSL2|DHPRP2|CRMP2|DRP2
DHPRP2,11/20/15,,DPYSL2|DRP-2|CRMP2|DRP2,DPYSL2|DRP-2|CRMP2|DRP2
CRMP2,11/20/15,,DPYSL2|DRP-2|DHPRP2|DRP2,DPYSL2|DRP-2|DHPRP2|DRP2
DRP2,11/20/15,,DPYSL2|DRP-2|DHPRP2|CRMP2,DPYSL2|DRP-2|DHPRP2|CRMP2
TBKBP1,,,ProSAPiP2|KIAA0775,ProSAPiP2|KIAA0775
ProSAPiP2,,,TBKBP1|KIAA0775,TBKBP1|KIAA0775
KIAA0775,,,TBKBP1|ProSAPiP2,TBKBP1|ProSAPiP2
ALKBH3,6/20/16,,DEPC-1,DEPC-1
DEPC-1,6/20/16,,ALKBH3,ALKBH3
GDF15,,,PLAB|MIC-1|PDF|MIC1|NAG-1|PTGFB,PLAB|MIC-1|PDF|MIC1|NAG-1|PTGFB
PLAB,,,GDF15|MIC-1|PDF|MIC1|NAG-1|PTGFB,GDF15|MIC-1|PDF|MIC1|NAG-1|PTGFB
MIC-1,,,GDF15|PLAB|PDF|MIC1|NAG-1|PTGFB,GDF15|PLAB|PDF|MIC1|NAG-1|PTGFB
PDF,,,GDF15|PLAB|MIC-1|MIC1|NAG-1|PTGFB,GDF15|PLAB|MIC-1|MIC1|NAG-1|PTGFB
MIC1,,,GDF15|PLAB|MIC-1|PDF|NAG-1|PTGFB,GDF15|PLAB|MIC-1|PDF|NAG-1|PTGFB
NAG-1,,,GDF15|PLAB|MIC-1|PDF|MIC1|PTGFB,GDF15|PLAB|MIC-1|PDF|MIC1|PTGFB
PTGFB,,,GDF15|PLAB|MIC-1|PDF|MIC1|NAG-1,GDF15|PLAB|MIC-1|PDF|MIC1|NAG-1
PRAC2,8/20/13,C17orf93|NCRNA00253|HOXB13-AS1|HOXB-AS5,,C17orf93|NCRNA00253|HOXB13-AS1|HOXB-AS5
PCGEM1,11/20/12,,NCRNA00071|LINC00071|PCAT9,NCRNA00071|LINC00071|PCAT9
NCRNA00071,11/20/12,,PCGEM1|LINC00071|PCAT9,PCGEM1|LINC00071|PCAT9
LINC00071,11/20/12,,PCGEM1|NCRNA00071|PCAT9,PCGEM1|NCRNA00071|PCAT9
PCAT9,11/20/12,,PCGEM1|NCRNA00071|LINC00071,PCGEM1|NCRNA00071|LINC00071
ARGFX,,,,
PSMC1P1,4/20/16,PSMC1P,bcm3415,PSMC1P|bcm3415
bcm3415,4/20/16,PSMC1P,PSMC1P1,PSMC1P|PSMC1P1
MAGOH2P,7/20/15,MAGOH2,,MAGOH2
PSMC6P2,,,,
DPYSL3,11/20/15,,DRP-3|ULIP|CRMP4,DRP-3|ULIP|CRMP4
DRP-3,11/20/15,,DPYSL3|ULIP|CRMP4,DPYSL3|ULIP|CRMP4
ULIP,11/20/15,,DPYSL3|DRP-3|CRMP4,DPYSL3|DRP-3|CRMP4
CRMP4,11/20/15,,DPYSL3|DRP-3|ULIP,DPYSL3|DRP-3|ULIP
PSMB3P2,4/20/16,,,
PSMD10P2,,,,
PSMD10P3,,,,
PSMD12P,,,,
PSMD2P1,3/20/08,,,
PSME2P3,,,,
PSME2P4,,,,
PSME2P5,,,,
PSME2P6,,,,
DPYSL4,11/20/15,,ULIP4|DRP-4,ULIP4|DRP-4
ULIP4,11/20/15,,DPYSL4|DRP-4,DPYSL4|DRP-4
DRP-4,11/20/15,,DPYSL4|ULIP4,DPYSL4|ULIP4
PSME2P2,3/20/08,,,
SPG29,,,,
EXOC3L2,6/20/16,,FLJ36147|XTP7,FLJ36147|XTP7
FLJ36147,6/20/16,,EXOC3L2|XTP7,EXOC3L2|XTP7
XTP7,6/20/16,,EXOC3L2|FLJ36147,EXOC3L2|FLJ36147
PRMT3,2/20/06,HRMT1L3,,HRMT1L3
ZFAND6,2/20/16,ZA20D3,ZFAND5B|AWP1,ZA20D3|ZFAND5B|AWP1
ZFAND5B,2/20/16,ZA20D3,ZFAND6|AWP1,ZA20D3|ZFAND6|AWP1
AWP1,2/20/16,ZA20D3,ZFAND6|ZFAND5B,ZA20D3|ZFAND6|ZFAND5B
LINC00614,5/20/12,C10orf52,FLJ35853,C10orf52|FLJ35853
FLJ35853,5/20/12,C10orf52,LINC00614,C10orf52|LINC00614
MORN2,,,MOPT,MOPT
MOPT,,,MORN2,MORN2
PDIA4,11/20/15,,ERP70|ERP72,ERP70|ERP72
ERP70,11/20/15,,PDIA4|ERP72,PDIA4|ERP72
