Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
RNF3A,1/20/05,RNF3,PCGF3|FLJ36550|DONG1|MGC40413,RNF3|PCGF3|FLJ36550|DONG1|MGC40413
MGC40413,1/20/05,RNF3,PCGF3|FLJ36550|DONG1|RNF3A,RNF3|PCGF3|FLJ36550|DONG1|RNF3A
RNF4,,,RES4-26|SNURF|SLX5,RES4-26|SNURF|SLX5
RES4-26,,,RNF4|SNURF|SLX5,RNF4|SNURF|SLX5
SNURF,,,RNF4|RES4-26|SLX5,RNF4|RES4-26|SLX5
SLX5,,,RNF4|RES4-26|SNURF,RNF4|RES4-26|SNURF
RNF5,4/20/16,,NG2|G16|RING5|RMA1,NG2|G16|RING5|RMA1
NG2,4/20/16,,RNF5|G16|RING5|RMA1,RNF5|G16|RING5|RMA1
G16,4/20/16,,RNF5|NG2|RING5|RMA1,RNF5|NG2|RING5|RMA1
RING5,4/20/16,,RNF5|NG2|G16|RMA1,RNF5|NG2|G16|RMA1
RMA1,4/20/16,,RNF5|NG2|G16|RING5,RNF5|NG2|G16|RING5
RNF6,4/20/16,,DKFZp686P0776,DKFZp686P0776
DKFZp686P0776,4/20/16,,RNF6,RNF6
NBEAP1,5/20/11,BCL8,BCL8A,BCL8|BCL8A
BCL8A,5/20/11,BCL8,NBEAP1,BCL8|NBEAP1
RNF7,,,SAG|ROC2|CKBBP1,SAG|ROC2|CKBBP1
SAG,,,RNF7|ROC2|CKBBP1,RNF7|ROC2|CKBBP1
ROC2,,,RNF7|SAG|CKBBP1,RNF7|SAG|CKBBP1
CKBBP1,,,RNF7|SAG|ROC2,RNF7|SAG|ROC2
RNF8,3/20/16,,KIAA0646,KIAA0646
KIAA0646,3/20/16,,RNF8,RNF8
TRIM10,1/20/11,RNF9,RFB30|HERF1,RNF9|RFB30|HERF1
RFB30,1/20/11,RNF9,TRIM10|HERF1,RNF9|TRIM10|HERF1
HERF1,1/20/11,RNF9,TRIM10|RFB30,RNF9|TRIM10|RFB30
RNGTT,,,HCE|HCE1|hCAP,HCE|HCE1|hCAP
HCE,,,RNGTT|HCE1|hCAP,RNGTT|HCE1|hCAP
HCE1,,,RNGTT|HCE|hCAP,RNGTT|HCE|hCAP
hCAP,,,RNGTT|HCE|HCE1,RNGTT|HCE|HCE1
RNH1,6/20/05,RNH,RAI,RNH|RAI
RAI,6/20/05,RNH,RNH1,RNH|RNH1
RNMT,4/20/16,,RG7MT1,RG7MT1
RG7MT1,4/20/16,,RNMT,RNMT
RNN~,,,,
RNNL~,,,,
RNPEP,1/20/16,,APB,APB
APB,1/20/16,,RNPEP,RNPEP
RNPEPL1,6/20/16,,,
BCL9,,,,
RNPS1,4/20/16,,,
RNPU1Z~,,,,
RNR1,2/20/17,,,
RNR2,2/20/17,,,
RNR3,2/20/17,,,
RNR4,2/20/17,,,
RNR5,2/20/17,,,
RNRP1~,,,,
RNRP2~,,,,
RNS1~,,,,
BCMA~,,,,
RNS2~,,,,
RNS3~,,,,
RNS4~,,,,
RNS4I~,,,,
RNS6~,,,,
RNU1~,,,,
SNORD80,5/20/06,RNU100,Z15|U80,RNU100|Z15|U80
Z15,5/20/06,RNU100,SNORD80|U80,RNU100|SNORD80|U80
